RakeKeyWords
"['ramping', 'movement', 'fuel', 'decided', 'saturday', 'trump', 'support', 'earned', 'primary', '26']"
"['wednesday', 'governor', 'called', 'friend', 'people', 'state', 'best', 'struggle', 'serve', 'hospital']"
"['jubilant', 'consider', 'ha', 'told', 'team', 'might', 'verdict', 'said', 'month', 'trial']"
"['department', 'correction', 'ready', 'become', 'already', 'conviction', 'violates', 'form', 'judge', 'contempt']"
"['expected', 'u', 'continent', 'future', 'ukraine', 'march', 'served', 'president', 'week', 'trip']"
"['even', 'pay', 'could', 'lot', 'anything', 'judge', 'rein', 'court', 'grumbled', 'loudly']"
"['facing', 'manhattan', 'accused', 'covering', '2017', 'reported', 'reimbursement', 'making', 'debut', 'cover']"
"['endorse', 'man', 'served', 'vicepresident', 'penny', 'hanged', 'running', 'president', 'candidate', 'come']"
"['charged', 'georgia', 'threat', 'convicted', 'delay', 'already', 'hit', 'penalty', 'pair', 'damage']"
"['entering', 'continent', 'ready', 'step', 'interview', 'group', 'war', 'longer', 'concept', 'past']"
"['due', 'begin', 'earnest', 'monday', 'mark', 'trump', 'sitting', 'face', 'jury', 'safeguard']"
"['ha', 'president', 'becomes', 'election', 'november', 'trump', 'balance', 'one', 'even', 'join']"
"['number', 'award', 'year', 'judge', 'unflinching', 'boxing', 'cut', 'heart', 'contrast', 'columnist']"
"['belief', 'decide', 'legality', 'endorse', 'procedure', 'want', 'drew', 'ire', 'democrat', 'south']"
"['victory', 'risk', 'chance', '15c', 'u', 'served', 'climate', '2016', '2022', 'worry']"
"['florida', 'weekend', 'number', 'sunday', 'hope', 'musk', 'ceo', 'spacex', 'x', 'request']"
"['tuesday', 'valuation', 'gain', '15', 'valuing', '96bn', 'easy', 'answer', 'possibly', 'share']"
"['blame', 'described', 'architect', 'speech', 'tucson', 'friday', 'week', 'state', 'almost', 'exception']"
"['wrapup', 'pointing', 'participant', 'hearing', 'already', 'found', 'court', 'violated', 'issue', 'heart']"
"['unusual', 'travelling', 'florida', 'visit', 'persuade', 'drop', 'opposition', 'aid', 'ukraine', 'held']"
"['back', 'starting', 'u', 'supporter', 'held', 'course', 'kick', 'monday', 'tabloid', 'could']"
"['undermining', 'basis', 'announced', 'expected', 'beat', 'target', 'spending', '2', 'gdp', 'defence']"
"['ran', 'vicepresident', 'confront', 'question', 'next', 'recovered', '730am', 'monday', 'work', 'office']"
"['judge', 'expected', 'rule', 'pay', 'face', 'inflating', 'value', 'asset', 'case', '250m']"
"['threat', 'belief', 'maintain', 'alliance', 'claiming', 'stupidity', 'rally', 'theyre', 'going', 'pay']"
"['attorney', 'requested', '83m', 'denying', 'mid1990s', 'proportion', '366m', 'le', 'reduced', 'well']"
"['survival', 'ukraine', 'important', 'u', 'shift', 'republican', 'due', 'vote', 'representative', 'strength']"
"['putting', 'chip', 'table', 'trip', 'u', 'year', 'kremlin', 'arriving', 'invitation', 'expected']"
"['spectacle', 'image', 'plaintiff', 'credibility', 'week', 'complicated', 'practically', 'archetype', 'revile', 'yet']"
"['home', 'respond', '454m', 'result', 'test', 'substance', 'inconclusive', 'official', 'believe', 'condition']"
"['wrote', 'much', 'publish', 'growing', 'family', 'tuesday', 'story', 'dad', 'published', 'u']"
"['cleareyed', 'prospect', 'detail', 'talk', 'delve', 'lot', 'people', 'talking', 'facing', 'said']"
"['delay', 'trial', 'claim', 'case', 'manhattan', 'front', 'scheduled', 'begin', 'lawyer', 'raise']"
"['flirted', 'tiktok', 'favor', 'world', 'lot', 'people', 'love', 'without', 'enemy', 'said']"
"['comparison', 'also', 'wide', '1937', 'war', 'policy', 'playing', 'time', 'putin', 'ukraine']"
"['set', 'increase', 'way', 'float', 'preparing', 'operates', 'merger', 'spac', 'vote', 'trying']"
"['support', 'appeal', 'friday', 'carroll', 'posting', 'bond', 'approve', 'trump', 'pay', 'money']"
"['claim', 'way', 'look', 'president', 'orchestrated', 'threatened', 'allegation', 'affair', 'eve', 'conspired']"
"['offered', 'chance', 'purchase', 'leaving', 'post', 'tuesday', 'lead', 'easter', 'encourage', 'get']"
"['victor', 'assure', 'wa', 'businessman', 'tuesday', 'current', 'rematch', 'day', 'reject', 'challenge']"
"['summed', 'experience', 'bizarre', 'said', 'wa', 'spent', 'night', 'one', 'remove', 'juror']"
"['according', 'overturning', 'come', 'say', 'sure', 'paint', 'wordpicture', 'rapist', 'might', 'lot']"
"['win', 'string', 'victory', '2024', 'wave', 'year', 'decision', '10', 'rhetoric', 'opponent']"
"['wa', 'watching', 'playing', 'game', 'football', 'friend', 'gdask', 'first', 'fortune', 'second']"
"['law', 'face', 'victory', 'run', 'trump', 'legal', 'political', 'defeat', 'delay', 'trial']"
"['front', 'earnest', 'wa', 'office', 'day', 'arizona', 'trying', 'subvert', 'state', 'spoke']"
"['season', 'iowa', '95', 'vote', 'state', 'launched', 'campaign', '2020', 'congressman', 'minnesota']"
"['miracle', 'ending', 'abortion', 'warned', 'republican', 'decimated', 'spot', 'wednesday', 'counterprogramming', 'wa']"
"['organiser', 'responsible', 'money', 'speak', 'event', 'melbourne', 'september', 'postponed', 'december', 'moved']"
"['associate', 'ordered', 'pay', 'found', 'guilty', 'course', 'decade', 'leap', 'page', 'shock']"
"['expected', 'majority', 'alliance', 'appointment', 'put', 'end', 'rule', 'seat', 'forming', 'parliament']"
"['move', 'using', 'x', '2023', 'get', 'want', 'come', 'reply', 'video', 'never']"
"['failing', 'sign', 'state', 'illinois', 'advocating', 'overthrow', 'government', 'investigation', 'reported', 'part']"
"['65m', 'fund', '73m', 'beaming', 'moment', 'said', 'would', 'filing', 'appeal', 'verdict']"
"['spectre', 'every', 'see', 'trump', 'return', 'spent', 'much', 'nonchalant', 'threat', 'recapturing']"
"['psychopath', 'irredeemable', 'would', 'appearance', 'vote', 'want', 'live', 'world', 'trump', 'biden']"
"['make', 'may', 'set', 'premiere', 'cannes', 'lineup', 'paris', 'thursday', 'competition', 'starstuddedness']"
"['chomp', 'salivate', 'portray', 'admission', 'defeat', 'democrat', 'securing', 'border', 'wouldnt', 'back']"
"['monday', 'take', 'stop', 'loud', 'say', 'question', 'moot', 'u', 'know', 'tried']"
"['hold', 'may', 'stop', 'locked', 'candidacy', 'race', 'sunday', 'added', 'name', 'stack']"
"['matter', 'defamation', 'inflating', 'value', 'asset', 'cost', '438m', 'thats', 'part', 'payment']"
"['writer', 'london', 'jamaica', 'appointment', 'mid1950s', 'step', 'called', 'clerk', 'idea', 'signposted']"
"['oval', 'told', 'lived', 'see', 'layout', 'visited', 'often', 'wa', 'claudia', 'difficulty']"
"['appalling', 'invitation', 'weekend', 'hell', 'want', 'spend', 'security', 'alliance', 'supposed', 'bastion']"
"['1970s', 'one', 'led', 'accused', 'exoneration', 'continued', 'suggest', 'guilty', 'ha', 'personally']"
"['paid', 'ticket', '2023', 'refund', 'respond', 'email', 'close', 'month', 'speak', 'event']"
"['certain', 'win', 'reader', 'guardian', 'sure', 'prospect', 'appalling', 'briton', 'nation', 'language']"
"['top', 'ever', 'wealth', '2024', 'bound', 'risk', 'money', 'anything', 'contributing', 'neofascism']"
"['president', 'start', 'leaked', 'content', 'trump', 'reelected', 'expected', 'back', 'ruled', 'truth']"
"['woman', 'child', 'killed', 'klimovov', 'shelling', 'governor', 'telegram', 'said', 'centre', 'push']"
"['monday', 'resume', 'case', 'juror', 'courthouse', 'fine', 'seat', 'morning', 'wa', 'way']"
"['many', 'thing', 'year', 'others', 'food', 'custom', 'decoration', 'eyebrow', 'guest', 'happened']"
"['republican', 'succumbed', 'cult', 'crossing', 'finger', 'halted', 'defeat', 'hand', 'tricky', 'congenial']"
"['lawyer', 'son', 'effort', 'show', 'push', 'affair', 'case', 'threatens', 'reach', 'climax']"
"['bound', 'conspiring', 'overturn', 'judge', 'suspend', 'granted', 'reprieve', 'considered', 'order', 'reimposed']"
"['vision', 'heart', 'eu', 'government', 'vote', 'confidence', 'parliament', 'regain', 'position', 'leader']"
"['record', 'help', 'november', 'may', 'catastrophe', 'turmoil', 'ukraine', 'ending', 'iran', 'message']"
"['announcement', 'minute', 'result', 'vote', 'appeared', 'show', 'route', 'government', 'refugee', 'brussels']"
"['home', 'cause', '1974', 'appointed', '1983', 'appointment', 'fixer', 'cohn', 'appeal', '2018']"
"['element', 'dictatorship', 'programme', 'corporation', 'right', 'attempting', 'conservative', 'done', 'uk', 'trashed']"
"['attorney', 'trial', 'charge', 'conspired', 'overturn', 'proceeding', 'unfair', 'trump', 'victim', 'persecution']"
"['others', 'keep', 'voice', 'wednesday', 'hand', 'frustration', 'lawyer', 'admonition', 'testimony', 'ask']"
"['dozed', 'middle', 'interview', 'woke', 'asked', 'score', 'coke', 'wa', 'funeral', 'blitzed']"
"['tuesday', 'overstating', 'value', 'asset', 'ruling', 'acceleration', 'case', 'building', 'inflated', '22bn']"
"['trying', 'overturn', 'result', 'could', 'taken', 'custody', 'violated', 'condition', 'wa', 'treated']"
"['charged', 'connection', 'effort', 'overturn', 'result', 'deepening', 'conspiracy', 'targeted', 'certifying', 'accused']"
"['making', 'added', 'decided', 'would', 'open', 'serving', 'settle', 'demonstrate', 'control', 'party']"
"['shocking', 'already', 'knocked', 'twice', 'close', 'show', 'cold', 'riyadh', 'unleash', 'forcefully']"
"['teeth', 'came', 'u', 'simple', 'owned', 'day', 'leave', 'drove', 'offer', 'stopped']"
"['greatest', 'handle', 'sex', 'well', 'experiment', 'fire', 'star', 'spouse', 'discovered', 'commissioned']"
"['ammunition', 'december', 'connection', 'wieambilla', 'along', '2022', 'afraid', 'spoke', 'killing', 'expressed']"
"['time', 'georgia', 'effort', 'reverse', 'defeat', 'anyone', 'evidence', 'oath', 'court', 'try']"
"['defense', 'georgia', 'attempt', 'overturn', 'defeat', 'shocking', 'speaker', 'blind', 'interfere', 'using']"
"['marking', 'minute', 'court', 'talking', 'lawyer', 'keep', 'voice', 'leader', 'establish', 'myers']"
"['hundred', 'thousand', 'sunday', 'poland', 'role', 'europe', 'called', 'supporter', 'put', 'show']"
"['guilty', 'charge', 'conspired', 'engaged', 'overturn', 'result', 'state', 'lawyer', 'much', '22bn']"
"['stand', 'friday', 'testimony', 'campaign', 'recap', 'center', 'following', 'credit', 'term', 'agenda']"
"['seldom', 'trying', 'overturn', 'lost', 'fomenting', 'week', 'putting', 'case', 'hook', 'bypass']"
"['evil', 'back', 'nomination', 'want', 'men', 'poland', 'year', 'thing', 'promised', 'tomorrow']"
"['joined', 'apprentice', 'week', 'billed', 'exploration', 'power', 'ambition', 'world', 'corruption', 'deceit']"
"['lively', 'tottenham', '1960s', '70', 'ireland', 'wimbledon', '90', 'defied', 'maintaining', 'status']"
"['still', 'peak', 'career', 'arced', 'embrace', 'republican', 'identified', 'conservative', 'politics', 'many']"
"['love', 'wildlife', 'interpretation', 'wildfowl', '1980', 'responsibility', 'visitor', 'uk', 'way', 'wwt']"
"['brisbane', 'one', 'finale', 'victory', 'infield', 'looked', 'win', 'picked', 'aim', 'knocked']"
"['guest', 'time', 'mayhem', 'host', 'party', 'death', 'play', 'murderation', 'money', 'lycett']"
"['asked', 'student', 'art', 'sailor', 'board', 'personality', 'also', 'taught', 'london', '1958']"
"['part', 'tragedy', 'life', 'memory', 'best', 'manager', 'newcastle', 'one', 'followed', 'forth']"
"['friday', 'go', 'entrance', 'water', 'follow', 'visit', 'site', 'tragedy', 'tuesday', 'place']"
"['drove', 'ball', 'reach', 'india', 'forgiven', 'erupting', 'anger', 'criticism', 'infected', 'stump']"
"['man', 'bruise', 'shape', 'statue', 'h', 'step', 'erected', 'cowbridge', 'wale', 'covered']"
"['policy', 'country', 'biden', 'hurt', 'warned', 'student', 'u', 'joined', 'lose', 'call']"
"['label', 'would', 'run', 'candidate', 'vote', 'email', 'biden', 'elaborate', 'chance', 'quest']"
"['launching', 'run', 'would', 'thrown', 'chaos', 'confusion', 'thorn', 'side', 'party', 'especially']"
"['video', 'mark', 'said', 'tired', 'played', 'sucker', 'added', 'company', 'trying', 'pull']"
