YakeKeyWords
"['party', 'michigan', 'republican', 'convention', 'county', 'state', 'delegate', 'gop', 'saturday', 'chair']"
"['payne', 'jersey', 'donald', 'friend', 'heart', 'family', 'murphy', 'newark', 'public', 'congress']"
"['case', 'election', 'trump', 'trial', 'week', 'court', 'supreme', 'immunity', 'verdict', 'claim']"
"['trump', 'jail', 'president', 'merchan', 'adam', 'rikers', 'ready', 'york', 'charge', 'judge']"
"['trump', 'duda', 'meet', 'tusk', 'polish', 'poland', 'ukraine', 'house', 'minister', 'president']"
"['trump', 'case', 'judge', 'court', 'willis', 'trial', 'georgia', 'york', 'order', 'pay']"
"['trump', 'payment', 'daniel', 'cohen', 'record', 'prosecutor', 'business', 'hushmoney', 'charge', 'manhattan']"
"['trump', 'penny', 'republican', 'conservative', 'donald', 'year', 'endorse', 'nomination', 'agenda', 'president']"
"['trump', 'case', 'trial', 'default', 'charge', 'election', 'figure', 'york', 'status', 'key']"
"['tusk', 'europe', 'ukraine', 'polish', 'european', 'attack', 'prime', 'minister', 'era', 'wrote']"
"['nuclear', 'trump', 'sanction', 'israeli', 'military', 'unit', 'idf', 'case', 'poland', 'club']"
"['trump', 'trial', 'charge', 'criminal', 'election', 'president', 'york', 'federal', 'american', 'dont']"
"['year', 'award', 'won', 'sport', 'guardian', 'writing', 'liew', 'silver', 'prize', 'judge']"
"['abortion', 'trump', 'state', 'ban', 'issue', 'national', 'roe', 'republican', 'week', 'wade']"
"['climate', 'trump', 'action', 'espinosa', 'country', 'paris', 'world', 'agreement', 'finance', 'strong']"
"['musk', 'trump', 'campaign', 'biden', 'president', 'time', 'billionaire', 'republican', 'cash', 'report']"
"['social', 'truth', 'stock', 'trump', 'share', 'investor', 'company', 'meme', 'valuation', 'gamestop']"
"['arizona', 'ban', 'state', 'abortion', 'trump', 'harris', 'republican', 'woman', 'voter', 'roe']"
"['trump', 'bst', 'davidson', 'donald', 'cohen', 'updated', 'daniel', 'order', 'keith', 'michael']"
"['cameron', 'ukraine', 'trump', 'foreign', 'republican', 'secretary', 'congress', 'office', 'putin', 'aid']"
"['trump', 'trial', 'payment', 'case', 'prosecutor', 'merchan', 'cohen', 'court', 'year', 'order']"
"['defence', 'nato', 'gdp', 'trump', 'europe', 'ukraine', 'stoltenberg', 'spending', 'time', 'expected']"
"['kaine', 'trump', 'virginia', 'senator', 'state', 'senate', 'people', 'principle', 'mile', 'thing']"
"['trump', 'york', 'trial', 'engoron', 'ruling', 'financial', 'fraud', 'guilty', 'jones', 'organization']"
"['nato', 'trump', 'pay', 'theyre', 'country', 'member', 'united', 'state', 'protect', 'bill']"
"['trump', 'attorney', 'court', 'jury', 'carroll', 'testimony', 'president', 'jean', 'case', 'trial']"
"['ukraine', 'ukrainian', 'russian', 'aid', 'minister', 'post', 'important', 'package', 'social', 'arrested']"
"['orbn', 'hungary', 'hungarian', 'conservative', 'year', 'trump', 'orbns', 'foreign', 'relationship', 'policy']"
"['trump', 'daniel', 'woman', 'carroll', 'sex', 'week', 'man', 'courtroom', 'case', 'testimony']"
"['trump', 'white', 'powder', 'letter', 'york', 'office', 'donald', 'contained', 'police', 'unidentified']"
"['trump', 'donald', 'mary', 'family', 'book', 'niece', 'published', 'memoir', 'president', 'york']"
"['trump', 'colbert', 'meyers', 'kimmel', 'people', 'campaign', 'talk', 'lot', 'donald', 'president']"
"['trump', 'lawyer', 'judge', 'election', 'case', 'merchan', 'immunity', 'court', 'april', 'family']"
"['tiktok', 'facebook', 'trump', 'ban', 'year', 'lot', 'app', 'told', 'banning', 'social']"
"['chamberlain', 'trump', 'neville', 'contrast', 'time', 'campaign', 'social', 'trust', 'legacy', 'photograph']"
"['trump', 'stock', 'medium', 'merger', 'digital', 'world', 'share', 'company', 'case', 'president']"
"['trump', 'carroll', 'bond', 'manhattan', 'court', 'civil', 'defamation', 'case', 'york', 'appeal']"
"['trump', 'cohen', 'daniel', 'payment', 'case', 'key', 'witness', 'pecker', 'story', 'organization']"
"['bible', 'trump', 'donald', 'god', 'american', 'bless', 'usa', 'godblesstheusabiblecom', 'country', 'cic']"
"['caucus', 'primary', 'election', 'republican', 'trump', 'state', 'candidate', 'nevada', 'voter', 'party']"
"['trump', 'juror', 'donald', 'potential', 'merchan', 'courtroom', 'court', 'day', 'lawyer', 'temperature']"
"['court', 'trump', 'legal', 'thursday', 'trial', 'supreme', 'justice', 'weinstein', 'system', 'york']"
"['hall', 'khan', 'vote', 'trump', 'election', 'london', 'mayoral', 'system', 'susan', 'mayor']"
"['tusk', 'poland', 'people', 'time', 'sopot', 'minister', 'coalition', 'country', 'year', 'friend']"
"['trump', 'iowa', 'christian', 'republican', 'caucus', 'hoffer', 'desantis', 'evangelical', 'movement', 'political']"
"['trump', 'court', 'trial', 'election', 'hush', 'money', 'cameron', 'immunity', 'case', 'time']"
"['voter', 'south', 'primary', 'carolina', 'black', 'state', 'saturday', 'campaign', 'biden', 'vote']"
"['trump', 'election', 'abortion', 'republican', 'roe', 'wade', 'claim', 'country', 'iowa', 'poll']"
"['event', 'refund', 'australia', 'organiser', 'turning', 'point', 'ticketing', 'ticketbud', 'fund', 'trump']"
"['trump', 'engoron', 'decision', 'ruling', 'york', 'donald', 'worth', 'building', 'prosecutor', 'organization']"
"['government', 'tusk', 'rule', 'law', 'expected', 'minister', 'poland', 'party', 'morawiecki', 'election']"
"['smith', 'marr', 'trump', 'music', 'rally', 'playing', 'year', 'rolling', 'stone', 'wrote']"
"['state', 'trump', 'oath', 'republican', 'illinois', 'candidate', 'united', 'government', 'sign', 'ballot']"
"['trump', 'carroll', 'trial', 'kaplan', 'statement', 'claim', 'juror', 'court', 'defamation', 'york']"
"['trump', 'europe', 'white', 'house', 'security', 'time', 'america', 'state', 'biden', 'british']"
"['trump', 'niro', 'play', 'live', 'vote', 'biden', 'actor', 'president', 'total', 'time']"
"['dir', 'film', 'director', 'festival', 'cannes', 'competition', 'coppola', 'arnold', 'year', 'american']"
"['wall', 'border', 'administration', 'policy', 'biden', 'trump', 'failure', 'barrier', 'democrat', 'endangered']"
"['week', 'time', 'eye', 'trump', 'carroll', 'day', 'money', 'prime', 'park', 'donald']"
"['strike', 'morning', 'gaza', 'state', 'general', 'hampshire', 'trump', 'israel', 'time', 'city']"
"['trump', 'appeal', 'pay', 'trial', 'court', 'carroll', 'cash', 'money', 'campaign', 'donald']"
"['donald', 'black', 'book', 'history', 'illusion', 'journey', 'bus', 'write', 'caribbean', 'job']"
"['claudia', 'told', 'live', 'moved', 'oval', 'south', 'london', 'amazed', 'jones', 'west']"
"['trump', 'nato', 'putin', 'ukraine', 'europe', 'doe', 'alliance', 'war', 'hard', 'pay']"
"['black', 'trump', 'turn', 'voter', 'people', 'vote', 'community', 'biden', 'understand', 'racist']"
"['trump', 'australia', 'ticket', 'refund', 'event', 'email', 'contact', 'organiser', 'show', 'guardian']"
"['trump', 'american', 'house', 'enemy', 'white', 'eye', 'briton', 'world', 'politics', 'donald']"
"['trump', 'democracy', 'haley', 'wealth', 'republican', 'candidate', 'neofascism', 'moneyed', 'interest', 'top']"
"['nuclear', 'britain', 'trident', 'trump', 'weapon', 'deterrent', 'technical', 'defence', 'war', 'independent']"
"['russia', 'ukraine', 'tuesday', 'region', 'russian', 'ukrainian', 'attack', 'bst', 'president', 'agency']"
"['trump', 'trial', 'carroll', 'kaplan', 'habba', 'testimony', 'juror', 'court', 'attorney', 'covid']"
"['christmas', 'year', 'eve', 'donald', 'duck', 'soviet', 'film', 'festive', 'bring', 'sweden']"
"['trump', 'republican', 'haley', 'president', 'american', 'biden', 'bidens', 'donald', 'hampshire', 'year']"
"['biden', 'hunter', 'trump', 'president', 'charge', 'investigation', 'barr', 'attorney', 'presidential', 'drug']"
"['trump', 'order', 'prosecutor', 'gag', 'case', 'court', 'judge', 'criminal', 'lawyer', 'statement']"
"['tusk', 'government', 'poland', 'polish', 'ukraine', 'speech', 'back', 'tuesday', 'european', 'change']"
"['biden', 'trump', 'world', 'war', 'america', 'ukraine', 'foreign', 'policy', 'global', 'bidens']"
"['coalition', 'poland', 'vote', 'result', 'poll', 'tusk', 'government', 'opposition', 'station', 'election']"
"['trump', 'barry', 'donald', 'york', 'president', 'died', 'time', 'mary', 'white', 'house']"
"['network', 'atlas', 'programme', 'policy', 'public', 'member', 'junktanks', 'truss', 'iea', 'world']"
"['trump', 'case', 'order', 'trial', 'gag', 'television', 'live', 'court', 'coverage', 'filing']"
"['trump', 'larson', 'lawyer', 'engoron', 'trial', 'witness', 'wednesday', 'state', 'defense', 'asked']"
"['ferrara', 'film', 'guy', 'time', 'pio', 'york', 'gon', 'year', 'woman', 'life']"
"['trump', 'trial', 'ruling', 'york', 'engoron', 'company', 'james', 'estate', 'real', 'president']"
"['trump', 'release', 'condition', 'trial', 'witness', 'criminal', 'pending', 'defendant', 'case', 'court']"
"['trump', 'indictment', 'election', 'charge', 'smith', 'trial', 'president', 'state', 'effort', 'result']"
"['trump', 'jordan', 'republican', 'jim', 'house', 'speaker', 'nehls', 'congressman', 'party', 'scalise']"
"['joshua', 'ngannou', 'tyson', 'boxing', 'heavyweight', 'world', 'fight', 'fury', 'boxer', 'bout']"
"['day', 'threat', 'indictment', 'wieambilla', 'stacey', 'gareth', 'train', 'fbi', 'property', 'killed']"
"['smith', 'glover', 'mission', 'working', 'erskine', 'life', 'work', 'clear', 'fall', 'love']"
"['day', 'threat', 'allegedly', 'kill', 'fbi', 'court', 'person', 'fucking', 'ammunition', 'true']"
"['trump', 'world', 'georgia', 'charge', 'country', 'racketeering', 'people', 'year', 'lahaina', 'effort']"
"['trump', 'election', 'indictment', 'president', 'georgia', 'christie', 'house', 'charge', 'legal', 'republican']"
"['trump', 'carroll', 'gmt', 'donald', 'martin', 'trial', 'habba', 'updated', 'kaplan', 'court']"
"['tusk', 'poland', 'rally', 'opposition', 'warsaw', 'polish', 'claimed', 'people', 'campaign', 'final']"
"['trump', 'case', 'court', 'lawyer', 'county', 'fulton', 'indictment', 'georgia', 'effort', 'federal']"
"['trump', 'hick', 'bst', 'donald', 'cohen', 'hope', 'campaign', 'updated', 'story', 'asked']"
"['court', 'trump', 'smith', 'supreme', 'president', 'election', 'case', 'rule', 'law', 'jack']"
"['tusk', 'poland', 'vote', 'government', 'minister', 'rule', 'judicial', 'election', 'law', 'party']"
"['trump', 'play', 'film', 'abbasi', 'loudest', 'voice', 'role', 'president', 'stan', 'strong']"
"['manager', 'year', 'league', 'kinnear', 'cup', 'wimbledon', 'division', 'season', 'premier', 'time']"
"['lieberman', 'senate', 'republican', 'party', 'connecticut', 'presidential', 'democratic', 'state', 'joe', 'yale']"
"['joe', 'wildlife', 'wildfowl', 'art', 'college', 'died', 'specie', 'crane', 'conservation', 'world']"
"['solomon', 'test', 'australia', 'match', 'cricket', 'indie', 'west', 'sugar', 'guyana', 'tour']"
"['film', 'hit', 'night', 'bbc', 'comedy', 'oppenheimer', 'greatest', 'christopher', 'ned', 'friday']"
"['tilson', 'art', 'london', 'work', 'tilsons', 'year', 'pop', 'joe', 'venice', 'made']"
"['kinnear', 'part', 'manager', 'press', 'cup', 'kinnears', 'relegation', 'tottenham', 'football', 'time']"
"['bridge', 'water', 'ship', 'fell', 'friday', 'material', 'moore', 'crane', 'ton', 'hazardous']"
"['root', 'england', 'lbw', 'ball', 'deep', 'stump', 'century', 'stokes', 'crawleys', 'close']"
"['lycett', 'story', 'fake', 'birmingham', 'statue', 'step', 'medium', 'past', 'erected', 'month']"
"['biden', 'protest', 'israel', 'election', 'trump', 'university', 'state', 'vote', 'democrat', 'bidens']"
"['label', 'candidate', 'biden', 'trump', 'effort', 'group', 'governor', 'cunningham', 'presidential', 'find']"
"['manchin', 'run', 'presidential', 'running', 'thirdparty', 'senator', 'decision', 'party', 'joe', 'west']"
"['product', 'company', 'biden', 'president', 'shrinkflation', 'price', 'video', 'including', 'icecream', 'bowl']"
"['israel', 'iran', 'attack', 'iranian', 'israeli', 'strike', 'defence', 'friday', 'tehran', 'official']"
"['hamill', 'star', 'war', 'mark', 'office', 'biden', 'oval', 'actor', 'jeanpierre', 'white']"
"['tiktok', 'biden', 'bidens', 'trump', 'tiktoks', 'video', 'campaign', 'account', 'people', 'president']"
"['johnson', 'biden', 'year', 'trump', 'poll', 'joe', 'goal', 'politics', 'run', 'guy']"
"['robinette', 'lincoln', 'president', 'robinettes', 'pardon', 'army', 'alexander', 'bidens', 'attempted', 'murder']"
"['lewis', 'prosecutor', 'trading', 'court', 'private', 'insider', 'york', 'trial', 'billionaire', 'family']"
"['union', 'trump', 'biden', 'president', 'donald', 'auto', 'conference', 'uaw', 'worker', 'fain']"
"['joe', 'flaherty', 'guy', 'comedy', 'april', 'sctv', 'happy', 'dad', 'john', 'show']"
"['aid', 'republican', 'trump', 'biden', 'senate', 'house', 'border', 'nato', 'legislation', 'bill']"
"['lieberman', 'senator', 'senate', 'party', 'republican', 'democrat', 'political', 'support', 'liebermans', 'joe']"
"['state', 'biden', 'union', 'republican', 'bidens', 'house', 'american', 'congress', 'trump', 'president']"
"['guinea', 'papua', 'biden', 'uncle', 'plane', 'kabuni', 'war', 'png', 'lot', 'pacific']"
"['minute', 'sprout', 'rice', 'add', 'cook', 'onion', 'butter', 'salt', 'lemon', 'oil']"
"['trump', 'golf', 'campaign', 'biden', 'bidens', 'club', 'reilly', 'donald', 'event', 'president']"
"['voter', 'biden', 'trump', 'poll', 'bidens', 'found', 'time', 'survey', 'candidate', 'black']"
"['trump', 'biden', 'bidens', 'point', 'poll', 'word', 'campaign', 'voter', 'judgment', 'election']"
"['jacobson', 'club', 'football', 'wycombe', 'antisemitism', 'player', 'people', 'app', 'guardian', 'league']"
"['millwall', 'coach', 'neil', 'charge', 'harris', 'start', 'league', 'head', 'edward', 'sacked']"
"['oil', 'fossil', 'gas', 'fuel', 'biden', 'climate', 'export', 'end', 'finance', 'project']"
"['minute', 'heat', 'bean', 'oil', 'add', 'olive', 'turn', 'radish', 'salt', 'oven']"
"['rafah', 'biden', 'time', 'israel', 'israeli', 'humanitarian', 'line', 'red', 'offensive', 'official']"
"['art', 'williams', 'ive', 'dont', 'people', 'time', 'robbie', 'lycett', 'thing', 'good']"
"['biden', 'gaza', 'israel', 'netanyahu', 'aid', 'israeli', 'hamas', 'month', 'told', 'talk']"
"['joe', 'birmingham', 'city', 'restaurant', 'kray', 'review', 'issue', 'editing', 'food', 'back']"
"['player', 'football', 'hearing', 'brain', 'injury', 'proceeding', 'legal', 'court', 'comment', 'body']"
"['gomez', 'time', 'back', 'england', 'front', 'pitch', 'injury', 'happened', 'previous', 'squad']"
"['biden', 'secret', 'service', 'collision', 'vehicle', 'agent', 'president', 'sedan', 'motorcade', 'jill']"
"['minute', 'pan', 'polenta', 'mushroom', 'cook', 'heat', 'salt', 'onion', 'oil', 'add']"
"['palestinian', 'state', 'israel', 'gaza', 'settler', 'war', 'security', 'biden', 'order', 'west']"
"['root', 'england', 'crawley', 'score', 'joe', 'india', 'ball', 'spin', 'century', 'needed']"
"['houthis', 'biden', 'war', 'yemen', 'saudi', 'gaza', 'conflict', 'israel', 'administration', 'attack']"
"['duckett', 'day', 'india', 'run', 'england', 'back', 'slip', 'root', 'playing', 'team']"
"['hampshire', 'primary', 'election', 'win', 'democratic', 'biden', 'bidens', 'general', 'trump', 'campaign']"
"['american', 'people', 'wealth', 'average', 'republican', 'biden', 'economy', 'working', 'pay', 'big']"
"['brain', 'age', 'people', 'healthy', 'older', 'decline', 'memory', 'good', 'biden', 'matter']"
"['bath', 'smith', 'game', 'cokanasiga', 'app', 'world', 'cup', 'lineout', 'guardian', 'point']"
"['call', 'judge', 'swatting', 'incident', 'trump', 'fire', 'number', 'threat', 'emergency', 'white']"
"['trump', 'colbert', 'meyers', 'biden', 'doctor', 'elvis', 'weird', 'guy', 'joked', 'fuck']"
"['drama', 'bbc', 'lycett', 'boarder', 'breathtaking', 'joe', 'sewage', 'pandemic', 'graham', 'sheen']"
"['swift', 'fan', 'album', 'alwyn', 'tortured', 'promo', 'dickinson', 'revealed', 'department', 'taylor']"
"['southgate', 'england', 'injury', 'squad', 'midfield', 'city', 'hope', 'phillips', 'chance', 'liverpool']"
"['dog', 'guard', 'live', 'pointer', 'biden', 'biting', 'noem', 'friend', 'secret', 'service']"
"['bst', 'biden', 'johnson', 'day', 'trump', 'republican', 'greene', 'holocaust', 'house', 'press']"
