BertKeyWords,YakeKeyWords,TextRankKeywords
"[""nomination"", ""nominate"", ""candidate"", ""michigan"", ""caucusing"", ""election"", ""gop"", ""voter"", ""presidential"", ""republican""]","[""party"", ""michigan"", ""republican"", ""convention"", ""county"", ""state"", ""delegate"", ""gop"", ""saturday"", ""chair""]","[""party"", ""michigan"", ""republican"", ""convention"", ""state"", ""delegate"", ""county"", ""gop"", ""trump"", ""saturday""]"
"[""payne"", ""paynes"", ""congressman"", ""murphy"", ""governor"", ""democrat"", ""medicare"", ""voter"", ""donald"", ""died""]","[""payne"", ""jersey"", ""donald"", ""friend"", ""heart"", ""family"", ""murphy"", ""newark"", ""public"", ""congress""]","[""new"", ""payne"", ""jersey"", ""said"", ""donald"", ""family"", ""heart"", ""wa"", ""friend"", ""newark""]"
"[""conviction"", ""prosecution"", ""court"", ""jury"", ""appealed"", ""verdict"", ""immunity"", ""smith"", ""justice"", ""presidential""]","[""case"", ""election"", ""trump"", ""trial"", ""week"", ""court"", ""supreme"", ""immunity"", ""verdict"", ""claim""]","[""case"", ""trump"", ""trial"", ""ha"", ""election"", ""might"", ""court"", ""week"", ""immunity"", ""voter""]"
"[""incarceration"", ""conviction"", ""jail"", ""incarcerated"", ""prosecution"", ""prison"", ""judicial"", ""criminal"", ""presidential"", ""sanction""]","[""trump"", ""jail"", ""president"", ""merchan"", ""adam"", ""rikers"", ""ready"", ""york"", ""charge"", ""judge""]","[""trump"", ""said"", ""jail"", ""president"", ""former"", ""merchan"", ""want"", ""adam"", ""charge"", ""rikers""]"
"[""poland"", ""polish"", ""andrzej"", ""trump"", ""duda"", ""hungarian"", ""nato"", ""biden"", ""kyiv"", ""viktor""]","[""trump"", ""duda"", ""meet"", ""tusk"", ""polish"", ""poland"", ""ukraine"", ""house"", ""minister"", ""president""]","[""trump"", ""duda"", ""tusk"", ""u"", ""meet"", ""said"", ""ukraine"", ""europe"", ""polish"", ""poland""]"
"[""court"", ""defamation"", ""defendant"", ""courtroom"", ""judge"", ""alleging"", ""testify"", ""prosecution"", ""justice"", ""juror""]","[""trump"", ""case"", ""judge"", ""court"", ""willis"", ""trial"", ""georgia"", ""york"", ""order"", ""pay""]","[""trump"", ""case"", ""judge"", ""court"", ""ha"", ""willis"", ""new"", ""trial"", ""would"", ""georgia""]"
"[""accused"", ""prosecutor"", ""indictment"", ""defendant"", ""felony"", ""court"", ""investigation"", ""trump"", ""daniel"", ""cohen""]","[""trump"", ""payment"", ""daniel"", ""cohen"", ""record"", ""prosecutor"", ""business"", ""hushmoney"", ""charge"", ""manhattan""]","[""trump"", ""payment"", ""daniel"", ""cohen"", ""wa"", ""prosecutor"", ""said"", ""record"", ""story"", ""election""]"
"[""penny"", ""trump"", ""nominee"", ""candidate"", ""presidential"", ""donald"", ""candidacy"", ""endorse"", ""indictment"", ""allegation""]","[""trump"", ""penny"", ""republican"", ""conservative"", ""donald"", ""year"", ""endorse"", ""nomination"", ""agenda"", ""president""]","[""trump"", ""penny"", ""said"", ""republican"", ""year"", ""ha"", ""conservative"", ""endorse"", ""vote"", ""four""]"
"[""felony"", ""convicted"", ""impeached"", ""arrest"", ""trump"", ""prosecutor"", ""perjury"", ""acquitted"", ""florida"", ""fraud""]","[""trump"", ""case"", ""trial"", ""default"", ""charge"", ""election"", ""figure"", ""york"", ""status"", ""key""]","[""trump"", ""trial"", ""case"", ""summary"", ""document"", ""election"", ""former"", ""2020"", ""charge"", ""asset""]"
"[""poland"", ""nato"", ""polish"", ""warsaw"", ""tusk"", ""kyiv"", ""ukrainian"", ""ukraine"", ""eu"", ""putin""]","[""tusk"", ""europe"", ""ukraine"", ""polish"", ""european"", ""attack"", ""prime"", ""minister"", ""era"", ""wrote""]","[""tusk"", ""said"", ""europe"", ""ukraine"", ""european"", ""attack"", ""ha"", ""poland"", ""defence"", ""polish""]"
